"filename", "language", "JSON", "Ini", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\ForumList.js", "JavaScript", 0, 0, 58, 0, 0, 0, 1, 3, 62
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\ForumTrendingThread.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\NewsExpand1.js", "JavaScript", 0, 0, 409, 0, 0, 0, 7, 14, 430
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\ReplyComment.js", "JavaScript", 0, 0, 124, 0, 0, 0, 5, 14, 143
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\SubForumList.js", "JavaScript", 0, 0, 125, 0, 0, 0, 1, 9, 135
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\TagsForum.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 7, 51
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\TestComment.js", "JavaScript", 0, 0, 145, 0, 0, 0, 4, 6, 155
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\TestCommentContent.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\ThreadExpand.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 2, 83
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\ThreadLink.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 7, 58
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Forum\ThreadList.js", "JavaScript", 0, 0, 87, 0, 0, 0, 1, 7, 95
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\HeaderCustomer.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Home.js", "JavaScript", 0, 0, 255, 0, 0, 0, 69, 7, 331
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Inventory.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 5, 74
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Location.js", "JavaScript", 0, 0, 91, 0, 0, 0, 4, 10, 105
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\LocationDist.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 4, 20
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Navbar.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 6, 55
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\NavbarNew.js", "JavaScript", 0, 0, 152, 0, 0, 0, 10, 11, 173
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Payment\Payment.js", "JavaScript", 0, 0, 73, 0, 0, 0, 2, 4, 79
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\ProductExpanded.js", "JavaScript", 0, 0, 141, 0, 0, 0, 4, 6, 151
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\ProductMain.js", "JavaScript", 0, 0, 86, 0, 0, 0, 1, 8, 95
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\SteamComponent.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\components\Cart.js", "JavaScript", 0, 0, 109, 0, 0, 0, 30, 6, 145
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\components\Home.js", "JavaScript", 0, 0, 67, 0, 0, 0, 3, 7, 77
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\components\Navbar.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\components\ProductHome.js", "JavaScript", 0, 0, 67, 0, 0, 0, 3, 8, 78
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\components\Recipe.js", "JavaScript", 0, 0, 80, 0, 0, 0, 8, 11, 99
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\components\SteamCart.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\components\StripeBtn.js", "JavaScript", 0, 0, 39, 0, 0, 0, 2, 6, 47
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Services\Steam\components\spec.js", "JavaScript", 0, 0, 76, 0, 0, 0, 3, 9, 88
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\SignupForm.js", "JavaScript", 0, 0, 185, 0, 0, 0, 6, 14, 205
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\SignupTest.js", "JavaScript", 0, 0, 95, 0, 0, 0, 1, 15, 111
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Status.js", "JavaScript", 0, 0, 27, 0, 0, 0, 8, 6, 41
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Store.css", "CSS", 0, 0, 0, 0, 79, 0, 1, 13, 93
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\StripeBtn.js", "JavaScript", 0, 0, 43, 0, 0, 0, 4, 4, 51
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Test.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\actions\authActions.js", "JavaScript", 0, 0, 54, 0, 0, 0, 10, 12, 76
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\actions\cartActions.js", "JavaScript", 0, 0, 139, 0, 0, 0, 33, 12, 184
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\actions\commonActionType.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\actions\urlConfig.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\actions\utils\setAuthToken.js", "JavaScript", 0, 0, 9, 0, 0, 0, 2, 3, 14
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\.picasa.ini", "Ini", 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Fonts\index.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 5, 39
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Fonts\praktika-light-demo.html", "HTML", 0, 0, 0, 0, 0, 478, 0, 122, 600
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Fonts\specimen_files\grid_12-825-55-15.css", "CSS", 0, 0, 0, 0, 95, 0, 10, 24, 129
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Fonts\specimen_files\specimen_stylesheet.css", "CSS", 0, 0, 0, 0, 320, 0, 11, 66, 397
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Fonts\style.css", "CSS", 0, 0, 0, 0, 7, 0, 1, 1, 9
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Fonts\stylesheet.css", "CSS", 0, 0, 0, 0, 7, 0, 1, 4, 12
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Group 239connected.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Group 240connected.svg", "XML", 0, 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Group 243connected.svg", "XML", 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\Group 244connected.svg", "XML", 0, 0, 0, 94, 0, 0, 0, 1, 95
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\amlogo.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\automotologo.svg", "XML", 0, 0, 0, 121, 0, 0, 0, 1, 122
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\moto365logo.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\COPYRIGHT automotoservice.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 107connected.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 108connected.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 109connected.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 110connected.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 120PERFORMANCE.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\Group 121.svg", "XML", 0, 0, 0, 41, 0, 0, 0, 1, 42
